,movie_id,title,is_drama,is_comedy,is_action,is_thriller,is_romance,is_horror,is_adventure,is_scifi,is_childrens,is_crime,is_war,is_documentary,is_musical,is_mystery,is_animation,is_fantasy,is_western,is_filmnoir,year
0,0,Toy Story,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1995
1,1,Jumanji,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1995
2,2,Grumpier Old Men,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
3,3,Waiting to Exhale,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
4,4,Father of the Bride Part II,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
5,5,Heat,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
6,6,Sabrina,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
7,7,Tom and Huck,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1995
8,8,Sudden Death,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
9,9,GoldenEye,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
10,10,"American President, The",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
11,11,Dracula: Dead and Loving It,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
12,12,Balto,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1995
13,13,Nixon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
14,14,Cutthroat Island,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
15,15,Casino,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
16,16,Sense and Sensibility,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
17,17,Four Rooms,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
18,18,Ace Ventura: When Nature Calls,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
19,19,Money Train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
20,20,Get Shorty,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
21,21,Copycat,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
22,22,Assassins,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
23,23,Powder,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
24,24,Leaving Las Vegas,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
25,25,Othello,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
26,26,Now and Then,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
27,27,Persuasion,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
28,28,"City of Lost Children, The",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1995
29,29,Shanghai Triad,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
30,30,Dangerous Minds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
31,31,Twelve Monkeys,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
32,32,Wings of Courage,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
33,33,Babe,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995
34,34,Carrington,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
35,35,Dead Man Walking,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
36,36,Across the Sea of Time,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1995
37,37,It Takes Two,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
38,38,Clueless,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
39,39,"Cry, the Beloved Country",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
40,40,Richard III,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1995
41,41,Dead Presidents,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
42,42,Restoration,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
43,43,Mortal Kombat,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
44,44,To Die For,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
45,45,How to Make an American Quilt,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
46,46,Seven,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
47,47,Pocahontas,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1995
48,48,When Night Is Falling,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
49,49,"Usual Suspects, The",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
50,50,Guardian Angel,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
51,51,Mighty Aphrodite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
52,52,Lamerica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
53,53,"Big Green, The",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995
54,54,Georgia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
55,55,Kids of the Round Table,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1995
56,56,Home for the Holidays,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
57,57,"Postino, Il",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
58,58,"Confessional, The",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
59,59,"Indian in the Cupboard, The",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1995
60,60,Eye for an Eye,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
61,61,Mr. Holland's Opus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
62,62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
63,63,Two if by Sea,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
64,64,Bio-Dome,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
65,65,Lawnmower Man 2: Beyond Cyberspace,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
66,66,Two Bits,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
67,67,French Twist,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
68,68,Friday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
69,69,From Dusk Till Dawn,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1996
70,70,Fair Game,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
71,71,Kicking and Screaming,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
72,72,"Mis̩rables, Les",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995
73,73,Bed of Roses,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
74,74,Big Bully,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
75,75,Screamers,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
76,76,Nico Icon,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1995
77,77,"Crossing Guard, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
78,78,"Juror, The",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
79,79,"White Balloon, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
80,80,Things to Do in Denver when You're Dead,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
81,81,Antonia's Line,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
82,82,Once Upon a Time... When We Were Colored,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
83,83,Last Summer in the Hamptons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
84,84,Angels and Insects,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
85,85,White Squall,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1996
86,86,Dunston Checks In,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1996
87,87,Black Sheep,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
88,88,Nick of Time,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
89,89,"Journey of August King, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
90,90,Mary Reilly,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
91,91,Vampire in Brooklyn,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
92,92,Beautiful Girls,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
93,93,Broken Arrow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
94,94,In the Bleak Midwinter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
95,95,Hate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
96,96,Shopping,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
97,97,Heidi Fleiss: Hollywood Madam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1995
98,98,City Hall,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
99,99,Bottle Rocket,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
100,100,Mr. Wrong,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
101,101,Unforgettable,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
102,102,Happy Gilmore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
103,103,"Bridges of Madison County, The",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
104,104,Nobody Loves Me,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
105,105,Muppet Treasure Island,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1996
106,106,Catwalk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1995
107,107,Headless Body in Topless Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
108,108,Braveheart,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1995
109,109,Taxi Driver,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976
110,110,Rumble in the Bronx,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1995
111,111,Before and After,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1996
112,112,Margaret's Museum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
113,113,Happiness Is in the Field,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
114,114,Anne Frank Remembered,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1995
115,115,"Young Poisoner's Handbook, The",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
116,116,If Lucy Fell,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
117,117,"Steal Big, Steal Little",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
118,118,Race the Sun,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
119,119,"Boys of St. Vincent, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
120,120,Boomerang,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
121,121,Chungking Express,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994
122,122,"Star Maker, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
123,123,Flirting With Disaster,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
124,124,"NeverEnding Story III, The",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1994
125,125,"Silence of the Palace, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
126,126,Jupiter's Wife,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1994
127,127,Pie in the Sky,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
128,128,Angela,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
129,129,Frankie Starlight,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
130,130,Jade,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
131,131,Nueba Yol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
132,132,Sonic Outlaws,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1995
133,133,Down Periscope,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
134,134,From the Journals of Jean Seberg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1995
135,135,Man of the Year,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1995
136,136,"Neon Bible, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
137,137,Target,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
